URL,Size (Bytes),Number of Outlinks,Content Type
https://www.foxnews.com,704115,1051,text/html
https://www.foxnews.com/politics/judge-blocks-ny-ag-letitia-james-silence-pregnancy-centers-promote-abortion-pill-reversal,247859,307,text/html
https://www.foxnews.com/politics/gop-gains-voter-advantage-pa-swing-county-near-biden-birthplace,245901,310,text/html
https://www.foxnews.com/official-polls/fox-news-poll-harris-ahead-trump-3-points-georgia,228630,291,text/html
https://www.foxnews.com/official-polls/fox-news-poll-voters-choice-flipped-arizona-since-last-month,235258,298,text/html
https://www.foxnews.com/video/6362515663112,60744,28,text/html
https://www.foxnews.com/video/6275127689001,65069,29,text/html
https://www.foxnews.com/media/trump-hits-abc-news-lightweight-david-muir-accuses-network-violating-debate-agreement-fact-checks,235565,292,text/html
https://www.foxnews.com/compliance,182010,282,text/html
https://www.foxnews.com/politics/secret-service-ripped-for-plan-send-staff-disney-world-lgbtq-summit-failures-protecting-trump,248546,307,text/html
https://www.foxnews.com/official-polls/fox-news-poll-voters-cite-high-prices-biggest-motivator-vote,233537,291,text/html
https://www.foxnews.com/category/news-events/remembering-george-h-w-bush,123223,324,text/html
https://www.foxnews.com/category/us/us-regions/southwest/arizona,122643,324,text/html
https://www.foxnews.com/video/5599024308001,67647,28,text/html
https://www.foxnews.com/video/topics/weather,261486,106,text/html
https://www.foxnews.com/download,17868,38,text/html
https://www.foxnews.com/media/trump-appears-leaves-door-open-second-debate-harris-maybe-i-got-right-mood,241725,293,text/html
https://www.foxnews.com/us/trump-assassination-attempt-secret-service-400-employees-short-what-congress-authorized-report,242532,300,text/html
https://www.foxnews.com/us/trump-assassination-attempt-inexperienced-secret-service-agent-flying-drone-called-toll-free-number-help,282255,310,text/html
https://www.foxnews.com/politics/arizonas-repeal-of-1864-ban-on-nearly-all-abortions-goes-into-effect,251311,305,text/html
https://www.foxnews.com/category/person/george-w-bush,124243,324,text/html
https://www.foxnews.com/category/us/crime/robbery-theft,122900,324,text/html
https://www.foxnews.com/video/6362509816112,68064,35,text/html
https://www.foxnews.com/video/6362510273112,66385,28,text/html
https://www.foxnews.com/media/trump-says-abc-debate-moderators-favored-kamala-harris-three-one,246636,293,text/html
https://www.foxnews.com/category/us/personal-freedoms/proud-american,158353,396,text/html
https://www.foxnews.com/us/trump-assassination-attempt-suspect-ryan-routh-ordered-held-pretrial-detention,281372,307,text/html
https://www.foxnews.com/politics/arizona-democrat-seek-abortion-learning-pregnancy-unviable,222823,299,text/html
https://www.foxnews.com/politics/president-george-w-bush,270262,316,text/html
https://www.foxnews.com/category/sports/nfl/san-francisco-49ers,122421,324,text/html
https://www.foxnews.com/video/topics/politics/executive/white-house,317470,106,text/html
https://www.foxnews.com/video/topics/person/kamala-harris,320048,106,text/html
