URL,Size (Bytes),Number of Outlinks,Content Type
https://www.latimes.com/,1249359,851,text/html
https://www.latimes.com/california,757459,508,text/html
https://www.latimes.com/topic/election-2024,421672,255,text/html
https://www.latimes.com/homeless-housing,451563,270,text/html
https://www.latimes.com/politics,495828,306,text/html
https://www.latimes.com/bestcovery/?utm_source=on_site&utm_medium=footer&utm_campaign=bestcovery,85291,81,text/html
https://www.latimes.com/science,493270,289,text/html
https://www.latimes.com/sitemap,261662,544,text/html
https://www.latimes.com/california/story/2024-09-19/sean-diddy-combs-sex-trafficking-allegations,406434,290,text/html
https://www.latimes.com/california/story/2024-09-20/bible-college-students-claim-they-couldnt-leave-freely-and-were-made-to-do-unpaid-labor,402719,277,text/html
https://www.latimes.com/bestcovery/contact-us,51006,22,text/html
https://www.latimes.com/bestcovery/terms-use,92452,20,text/html
https://www.latimes.com/business/firsthome,390068,278,text/html
https://www.latimes.com/california/story/2024-09-01/affordable-housing-on-church-parking-lots-new-laws-make-it-easier-to-build,397917,265,text/html
https://www.latimes.com/california/story/2024-09-09/usc-college-palestinian-protests-discipline,404553,289,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-09-18/californias-film-industry-is-in-crisis-can-it-be-saved,437264,284,text/html
https://www.latimes.com/california/story/2024-09-22/newsom-vetoes-bill-directing-uc-csu-to-hire-undocumented-students-for-campus-jobs,392161,283,text/html
https://www.latimes.com/b2b/consumer-goods,360017,205,text/html
https://www.latimes.com/people/colleen-shalby,308194,223,text/html
https://www.latimes.com/california/story/2024-09-23/faculty-accuse-uc-campuses-of-labor-violations-over-pro-palestine-protest-crackdowns,370948,265,text/html
https://www.latimes.com/homeless-housing/story/2022-03-08/building-an-adu-what-you-need-to-know-about-rent-control,372940,266,text/html
https://www.latimes.com/opinion/story/2024-09-25/mayor-bass-planning-commission-support-affordable-housing-or-protect-single-family-zoning,379346,271,text/html
https://www.latimes.com/environment/story/2024-08-30/california-tries-again-to-ban-plastic-grocery-bags,367379,246,text/html
https://www.latimes.com/california/story/2024-08-29/california-lawmakers-approve-home-mortgage-aid-to-undocumented-immigrants,381897,276,text/html
https://www.latimes.com/business/story/2024-09-04/beverly-hills-is-dragging-its-heels-on-a-new-building-the-governor-says-build-it,391708,287,text/html
https://www.latimes.com/california/story/2024-08-31/california-moves-to-ban-legacy-and-donor-college-admissions,377248,274,text/html
https://www.latimes.com/b2b/business-updates/story/2024-09-05/bones-love-milk-brings-competitive-skateboarding-for-a-cause-to-malibu-chili-cook-off,312021,213,text/html
https://www.latimes.com/opinion/story/2024-09-30/women-pants-style-feminism-history,383538,238,text/html
https://www.latimes.com/science/story/2024-09-05/mert-how-to-evaluate-the-available-research,358791,246,text/html
https://www.latimes.com/california/story/2024-05-15/uc-academic-workers-strike-vote,406348,292,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2024-09-30/republican-worked-for-nikki-haley-voting-for-kamala-harris,331527,230,text/html
https://www.latimes.com/california/story/2023-07-31/usc-stanford-california-legacy-donor-college-admissions,407830,286,text/html
https://www.latimes.com/opinion/story/2024-09-23/usha-vance-jd-vance-immigration-politics,385506,274,text/html
https://www.latimes.com/b2b/industries/story/2024-09-26/gpi-companies-acquires-the-lofts-at-noho-commons,304445,212,text/html
https://www.latimes.com/b2b/industries/story/2024-09-26/abacus-capital-group-acquires-the-ashton-apartments-in-corona,305022,212,text/html
https://www.latimes.com/b2b/industries/story/2024-10-01/banc-of-california-hires-ken-mcmullen-as-executive-vice-president-and-treasurer,290944,198,text/html
https://www.latimes.com/b2b/industries/story/2024-09-26/irvine-based-syntiant-corp-to-acquire-consumer-mems-microphones-business-of-knowles-corp,306899,213,text/html
https://www.latimes.com/b2b/industries/story/2024-09-26/navista-to-acquire-corona-del-mar-based-integrated-oncology-network,306224,213,text/html
https://www.latimes.com/opinion/story/2024-10-01/october-book-reviews-fiction-nonfiction,392747,263,text/html
