URL,Size (Bytes),Number of Outlinks,Content Type
https://www.nytimes.com,1015991,754,text/html
https://www.nytimes.com/section/opinion/technology,391851,62,text/html
https://www.nytimes.com/section/opinion/business-economics,410888,60,text/html
https://www.nytimes.com/section/opinion/international-world,355020,67,text/html
https://www.nytimes.com/section/opinion/politics,651503,58,text/html
https://www.nytimes.com/section/opinion/letters,293505,58,text/html
https://www.nytimes.com/spotlight/opinion-video,542734,77,text/html
https://www.nytimes.com/section/opinion/technology?page=10,1939285,265,text/html
https://www.nytimes.com/section/opinion/business-economics?page=10,1924663,267,text/html
https://www.nytimes.com/section/opinion/international-world?page=10,1812180,287,text/html
https://www.nytimes.com/section/opinion/politics?page=10,2274928,250,text/html
https://www.nytimes.com/section/opinion/letters?page=10,1310355,247,text/html
https://www.nytimes.com/spotlight/opinion-video?page=10,2197535,268,text/html
https://www.nytimes.com/spotlight/opinion-video?page=9,2074617,247,text/html
https://www.nytimes.com/video/opinion/100000007387419/megan-thee-stallion-black-women.html,1590934,97,text/html
https://www.nytimes.com/video/opinion/100000007440367/trump-concede-speech.html,1596800,97,text/html
https://www.nytimes.com/video/opinion,1541496,96,text/html
https://www.nytimes.com/video/op-docs,1230268,96,text/html
https://www.nytimes.com/video/t-magazine,1171195,96,text/html
https://www.nytimes.com/video/magazine,1489903,96,text/html
https://www.nytimes.com/video/how-we-got-here,542636,51,text/html
https://www.nytimes.com/video/diaryofasong,1349431,95,text/html
https://www.nytimes.com/video/on-the-ground,1640052,96,text/html
https://www.nytimes.com/video/investigations,1345369,95,text/html
https://www.nytimes.com/video/opinion/100000009550473/modern-goose.html?playlistId=video/op-docs,1243522,96,text/html
https://www.nytimes.com/video/t-magazine/100000009683593/how-to-cross-stitch-and-make-it-queer.html?playlistId=video/t-magazine,1184805,96,text/html
https://www.nytimes.com/video/magazine/100000009319138/the-wildest-acting-performances.html?playlistId=video/magazine,1969413,96,text/html
https://www.nytimes.com/video/us/politics/100000006674436/2020-iowa-caucus.html?playlistId=video/how-we-got-here,560200,51,text/html
https://www.nytimes.com/video/arts/music/100000005469604/ed-sheeran-shape-of-you.html?playlistId=video/diaryofasong,1416191,95,text/html
https://www.nytimes.com/video/world/americas/100000007144621/coronavirus-mexico-death-toll.html?playlistId=video/on-the-ground,2130633,96,text/html
https://www.nytimes.com/video/world/middleeast/100000009614868/israel-gaza-war-family-killed.html?playlistId=video/investigations,1372483,95,text/html
https://www.nytimes.com/video/world/middleeast/100000007787471/israel-airstrikes-gaza.html?playlistId=video/investigations,1412891,95,text/html
https://www.nytimes.com/video/us/politics/100000007606996/capitol-riot-trump-supporters.html?playlistId=video/investigations,1453667,95,text/html
https://www.nytimes.com/video/world/americas/100000007857564/haiti-jovenel-moise-assassinated-dea.html?playlistId=video/investigations,1990981,95,text/html
https://www.nytimes.com/video/world/europe/100000007871199/satellite-europe-floods.html?playlistId=video/investigations,1394240,95,text/html
https://www.nytimes.com/video/arts/music/100000008880309/how-rap-is-written-punching-in.html?playlistId=video/diaryofasong,1369213,95,text/html
https://www.nytimes.com/video/world/asia/100000007963596/us-drone-attack-kabul-investigation.html?playlistId=video/investigations,1410432,95,text/html
https://www.nytimes.com/video/world/asia/100000007980891/kabul-drone-strike-house.html?playlistId=video/investigations,1399215,95,text/html
https://www.nytimes.com/video/us/100000007409660/kyle-rittenhouse-shooting-video-analysis.html?playlistId=video/investigations,1425594,95,text/html
https://www.nytimes.com/video/us/100000008165200/kabul-drone-deaths.html?playlistId=video/investigations,1363220,95,text/html
https://www.nytimes.com/video/us/100000008165897/drone-strike-kabul.html?playlistId=video/investigations,1360036,95,text/html
https://www.nytimes.com/video/us/politics/100000008166257/kabul-drone-strike-video.html?playlistId=video/investigations,1358392,95,text/html
https://www.nytimes.com/video/world/europe/100000008206442/russia-military-ukraine.html?playlistId=video/investigations,1390353,95,text/html
https://www.nytimes.com/video/world/europe/100000008266864/russia-army-radio-makariv.html?playlistId=video/investigations,1365670,95,text/html
https://www.nytimes.com/video/us/politics/100000008392796/rile-up-the-normies-how-proud-boys-breached-the-capitol.html?playlistId=video/investigations,1327298,95,text/html
https://www.nytimes.com/video/world/asia/100000008314175/china-government-surveillance-data.html?playlistId=video/investigations,1326615,95,text/html
https://www.nytimes.com/video/world/asia/100000008523311/li-wenliang-chinese-video-investigation.html?playlistId=video/investigations,1326013,95,text/html
https://www.nytimes.com/video/world/asia/100000008352308/doctor-li-wenliang-covid-china.html?playlistId=video/investigations,1325771,95,text/html
https://www.nytimes.com/video/world/europe/100000008299178/ukraine-bucha-russia-massacre-video.html?playlistId=video/investigations,1326901,95,text/html
https://www.nytimes.com/video/world/middleeast/100000009124862/palestinian-gunmen-killing-sderot.html?playlistId=video/investigations,1353887,95,text/html
https://www.nytimes.com/video/world/100000009208814/israel-gaza-bomb-civilians.html?playlistId=video/investigations,1365058,95,text/html
https://www.nytimes.com/video/world/middleeast/100000009336313/israel-palestinian-war-aid-convoy-video.html?playlistId=video/investigations,1354714,95,text/html
https://www.nytimes.com/video/world/100000009393031/aid-groups-gaza-israel.html?playlistId=video/investigations,1367677,95,text/html
https://www.nytimes.com/video/us/politics/100000009570525/trump-assassination-attempt.html?playlistId=video/investigations,1355490,95,text/html
https://www.nytimes.com/video/us/politics/100000009576871/trump-shooting-assassination-attempt.html?playlistId=video/investigations,1356471,95,text/html
https://www.nytimes.com/video/world/europe/100000006498001/seawatch-migrants-europe.html?playlistId=video/on-the-ground,1696296,96,text/html
https://www.nytimes.com/video/world/asia/100000006653817/kashmir-india-pakistan.html?playlistId=video/on-the-ground,1690596,96,text/html
https://www.nytimes.com/video/world/asia/100000006664889/we-may-die-we-may-be-jailed-on-the-frontlines-with-hong-kongs-protesters.html?playlistId=video/on-the-ground,1688362,96,text/html
https://www.nytimes.com/video/world/asia/100000006676350/kashmir-india-article370.html?playlistId=video/on-the-ground,1693211,96,text/html
https://www.nytimes.com/video/world/asia/100000006682566/shes-a-protester-hes-a-police-officer-in-hong-kong-spouses-spar-too.html?playlistId=video/on-the-ground,1696257,96,text/html
https://www.nytimes.com/video/world/middleeast/100000006757197/turkey-syria-invasion.html?playlistId=video/on-the-ground,1688440,96,text/html
https://www.nytimes.com/video/world/middleeast/100000006777985/syria-isis-alhol-turkey-kurds.html?playlistId=video/on-the-ground,1690165,96,text/html
https://www.nytimes.com/video/world/middleeast/100000006789926/us-kurds.html?playlistId=video/on-the-ground,1691862,96,text/html
https://www.nytimes.com/video/world/americas/100000006795557/chile-protesters-shot-eye.html?playlistId=video/on-the-ground,1691745,96,text/html
https://www.nytimes.com/video/world/middleeast/100000006821104/trump-syria-military.html?playlistId=video/on-the-ground,1696422,96,text/html
https://www.nytimes.com/video/world/asia/100000006864895/hong-kong-protests-taiwan-secret-network.html?playlistId=video/on-the-ground,3188151,96,text/html
https://www.nytimes.com/video/world/americas/100000007011912/us-guatemela-asylum.html?playlistId=video/on-the-ground,1700310,96,text/html
https://www.nytimes.com/video/world/americas/100000007049738/as-coronavirus-approaches-mexico-president-looks-other-way.html?playlistId=video/on-the-ground,1655787,96,text/html
https://www.nytimes.com/video/world/asia/100000006963057/modi-muslims-india-citizenship-test.html?playlistId=video/on-the-ground,1628282,96,text/html
https://www.nytimes.com/video/world/100000007141490/-india-police-pandemic-coronavirus.html?playlistId=video/on-the-ground,2129957,96,text/html
https://www.nytimes.com/video/world/americas/100000006128670/hes-been-called-a-misogynist-and-a-fascist-many-women-still-back-him.html?playlistId=video/on-the-ground,1661109,96,text/html
https://www.nytimes.com/video/world/americas/100000006332149/hope-thwarted-along-with-aid-at-venezuelas-border.html?playlistId=video/on-the-ground,1657948,96,text/html
https://www.nytimes.com/video/world/asia/100000006581732/hong-kong-protesters.html?playlistId=video/on-the-ground,1656313,96,text/html
https://www.nytimes.com/video/world/middleeast/100000006431686/israel-elections-netanyahu.html?playlistId=video/on-the-ground,1664524,96,text/html
https://www.nytimes.com/video/world/americas/100000006721982/amazon-rainforest-fires-burning.html?playlistId=video/on-the-ground,1661066,96,text/html
https://www.nytimes.com/video/world/americas/100000006930887/migrant-caravan-mexico.html?playlistId=video/on-the-ground,1655923,96,text/html
https://www.nytimes.com/video/world/americas/100000007023396/march-femicide-women-mexico.html?playlistId=video/on-the-ground,1653521,96,text/html
https://www.nytimes.com/video/world/americas/100000007082011/coronavirus-deaths-ecuador-covid-19.html?playlistId=video/on-the-ground,1658292,96,text/html
https://www.nytimes.com/video/arts/music/100000005858557/watch-how-a-pop-hit-is-made.html?playlistId=video/diaryofasong,1408790,95,text/html
https://www.nytimes.com/video/arts/music/100000006000184/mo-bamba-sheck-wes-rap.html?playlistId=video/diaryofasong,1413745,95,text/html
https://www.nytimes.com/video/arts/music/100000006000270/kacey-musgraves-slow-burn-country-music.html?playlistId=video/diaryofasong,1410745,95,text/html
https://www.nytimes.com/video/arts/music/100000006389803/billie-eilish-bury-a-friend.html?playlistId=video/diaryofasong,1417384,95,text/html
https://www.nytimes.com/video/arts/music/100000006417770/lizzo-juice.html?playlistId=video/diaryofasong,1415807,95,text/html
https://www.nytimes.com/video/arts/music/100000006445156/old-town-road-lil-nas-x-billy-ray-cyrus.html?playlistId=video/diaryofasong,1413311,95,text/html
https://www.nytimes.com/video/arts/music/100000006486498/rosalia-j-balvin-con-altura.html?playlistId=video/diaryofasong,1428348,95,text/html
https://www.nytimes.com/video/arts/music/100000006630077/bon-iver-imi.html?playlistId=video/diaryofasong,1417580,95,text/html
https://www.nytimes.com/video/arts/music/100000006686500/lil-tecca-ransom.html?playlistId=video/diaryofasong,1417512,95,text/html
https://www.nytimes.com/video/arts/music/100000006794269/fka-twigs-mary-magdalene.html?playlistId=video/diaryofasong,1416510,95,text/html
https://www.nytimes.com/video/arts/music/100000006843387/taylor-swift-lover.html?playlistId=video/diaryofasong,1418324,95,text/html
https://www.nytimes.com/video/arts/music/100000006787476/dance-monkey-tones-and-i.html?playlistId=video/diaryofasong,1378271,95,text/html
https://www.nytimes.com/video/arts/music/100000006962812/grimes-delete-forever.html?playlistId=video/diaryofasong,1378592,95,text/html
https://www.nytimes.com/video/arts/music/100000007062893/dua-lipa-physical-song.html?playlistId=video/diaryofasong,1380392,95,text/html
https://www.nytimes.com/video/arts/music/100000007062892/big-drip-fivio-foreign-brooklyn-drill.html?playlistId=video/diaryofasong,1378994,95,text/html
https://www.nytimes.com/video/arts/music/100000007258359/phoebe-bridgers-kyoto.html?playlistId=video/diaryofasong,1378136,95,text/html
https://www.nytimes.com/video/arts/music/100000007249132/sam-hunt-hard-to-forget.html?playlistId=video/diaryofasong,1384666,95,text/html
https://www.nytimes.com/video/arts/music/100000007334512/prince-sign-o-the-times.html?playlistId=video/diaryofasong,1382059,95,text/html
https://www.nytimes.com/video/arts/music/100000007564611/olivia-rodrigo-drivers-license.html?playlistId=video/diaryofasong,1380877,95,text/html
https://www.nytimes.com/video/arts/music/100000007532509/diary-of-a-song-breaks-down-the-grammys.html?playlistId=video/diaryofasong,1381605,95,text/html
https://www.nytimes.com/video/arts/music/100000007818555/how-lorde-got-happy.html?playlistId=video/diaryofasong,1378019,95,text/html
https://www.nytimes.com/video/arts/music/100000008147312/who-will-win-the-top-grammy-award-lets-discuss.html?playlistId=video/diaryofasong,1341204,95,text/html
https://www.nytimes.com/video/us/politics/100000006046278/supreme-court-confirmation-hearing-nominee-senate-history.html?playlistId=video/how-we-got-here,1493094,51,text/html
https://www.nytimes.com/video/us/100000006456208/mexico-border-wall-immigration.html?playlistId=video/how-we-got-here,2107405,51,text/html
https://www.nytimes.com/video/us/100000006542254/climate-change-lawns.html?playlistId=video/how-we-got-here,1599467,51,text/html
https://www.nytimes.com/video/us/politics/100000006639814/presidential-candidates-campaigns.html?playlistId=video/how-we-got-here,560009,51,text/html
https://www.nytimes.com/video/magazine/100000005013826/lynsey-addario-south-sudan-refugee.html?playlistId=video/magazine,1541182,96,text/html
https://www.nytimes.com/video/magazine/100000005087630/open-marriages-non-monogamy.html?playlistId=video/magazine,1538046,96,text/html
https://www.nytimes.com/video/magazine/100000005555132/the-10-great-performers-of-2017-and-why-we-chose-them.html?playlistId=video/magazine,2186503,96,text/html
https://www.nytimes.com/video/magazine/100000005588890/daniel-kaluuya-the-psycho-killer.html?playlistId=video/magazine,2179236,96,text/html
https://www.nytimes.com/video/magazine/100000005588881/tiffany-haddish-the-macabre-dancer.html?playlistId=video/magazine,2179194,96,text/html
https://www.nytimes.com/video/magazine/100000005588876/jake-gyllenhaal-the-damned.html?playlistId=video/magazine,2180625,96,text/html
https://www.nytimes.com/video/magazine/100000005588908/brooklynn-prince-the-demon-child.html?playlistId=video/magazine,2181931,96,text/html
https://www.nytimes.com/video/magazine/100000005588930/daniela-vega-the-vampire.html?playlistId=video/magazine,2179147,96,text/html
https://www.nytimes.com/video/magazine/100000005588911/the-mannequin.html?playlistId=video/magazine,2179265,96,text/html
https://www.nytimes.com/video/magazine/100000005588895/cynthia-nixon-the-ghost-bride.html?playlistId=video/magazine,2178744,96,text/html
https://www.nytimes.com/video/magazine/100000005588835/nicole-kidman-the-possessed.html?playlistId=video/magazine,2179784,96,text/html
https://www.nytimes.com/video/magazine/100000005588864/timothee-chalamet-the-cannibal.html?playlistId=video/magazine,2179974,96,text/html
https://www.nytimes.com/video/magazine/100000005588849/andy-serkis-the-demented-clown.html?playlistId=video/magazine,2146496,96,text/html
https://www.nytimes.com/video/magazine/100000005593268/behind-the-screams.html?playlistId=video/magazine,2146315,96,text/html
https://www.nytimes.com/video/magazine/100000005893670/four-phrases-justin-peck-ballet-improvisations.html?playlistId=video/magazine,1503586,96,text/html
https://www.nytimes.com/video/magazine/100000005939489/the-new-york-issue-love-city-in-motion.html?playlistId=video/magazine,1503792,96,text/html
https://www.nytimes.com/video/magazine/100000005939102/new-york-issue-behind-the-scenes.html?playlistId=video/magazine,1503912,96,text/html
https://www.nytimes.com/video/magazine/100000006000313/after-taking-a-soccer-ball-to-the-head-an-18-year-old-student-develops-a-mental-fogginess.html?playlistId=video/magazine,1531244,96,text/html
https://www.nytimes.com/video/magazine/100000006025347/our-coming-climate-issue.html?playlistId=video/magazine,1527582,96,text/html
https://www.nytimes.com/video/magazine/100000006065275/dev-hynes-untitled-improvisation-1.html?playlistId=video/magazine,1503873,96,text/html
https://www.nytimes.com/video/magazine/100000006104848/the-making-of-the-maya-rudolph-cover.html?playlistId=video/magazine,1528584,96,text/html
https://www.nytimes.com/video/magazine/100000006430808/glenda-jackson-plays-king-lear-on-broadway.html?playlistId=video/magazine,1530742,96,text/html
https://www.nytimes.com/video/magazine/100000006349886/fox-news-trump-administration.html?playlistId=video/magazine,2432638,96,text/html
https://www.nytimes.com/video/t-magazine/100000009043955/house-tour-katherine-bernhardt.html?playlistId=video/t-magazine,1944445,96,text/html
https://www.nytimes.com/video/t-magazine/100000009091501/our-town.html?playlistId=video/t-magazine,1254970,96,text/html
https://www.nytimes.com/video/t-magazine/100000009117362/annette-bening.html?playlistId=video/t-magazine,1786188,96,text/html
https://www.nytimes.com/video/t-magazine/100000009153204/how-to-shave-your-eyebrows.html?playlistId=video/t-magazine,1221939,96,text/html
https://www.nytimes.com/video/t-magazine/entertainment/100000009168219/this-is-our-music.html?playlistId=video/t-magazine,1256108,96,text/html
https://www.nytimes.com/video/t-magazine/100000009199401/the-stage-is-ours.html?playlistId=video/t-magazine,1260518,96,text/html
https://www.nytimes.com/video/t-magazine/100000009198373/three-jewish-stage-luminaries-tell-t-a-joke.html?playlistId=video/t-magazine,1999927,96,text/html
https://www.nytimes.com/video/t-magazine/100000009201626/tater-tots-with-caviar.html?playlistId=video/t-magazine,1251731,96,text/html
https://www.nytimes.com/video/t-magazine/100000009201630/beef-tartare-with-celery-root-chips.html?playlistId=video/t-magazine,1250516,96,text/html
https://www.nytimes.com/video/t-magazine/100000009201642/grilled-cheese-wedges-with-tomato-jam.html?playlistId=video/t-magazine,1250144,96,text/html
https://www.nytimes.com/video/t-magazine/100000009309647/my-favorite-artwork-rick-owens.html?playlistId=video/t-magazine,1749667,96,text/html
https://www.nytimes.com/video/t-magazine/100000009298820/my-favorite-song-danielle-mckinney.html?playlistId=video/t-magazine,1786405,96,text/html
https://www.nytimes.com/video/t-magazine/100000009309856/how-to-eat-with-your-hands.html?playlistId=video/t-magazine,1184808,96,text/html
https://www.nytimes.com/video/t-magazine/100000009315350/house-tour-josh-brolin.html?playlistId=video/t-magazine,1946215,96,text/html
https://www.nytimes.com/video/t-magazine/100000009388568/tell-t-a-joke-megan-stalter.html?playlistId=video/t-magazine,1992793,96,text/html
https://www.nytimes.com/video/t-magazine/100000009388571/my-favorite-song-sky-lakota-lynch.html?playlistId=video/t-magazine,1787348,96,text/html
https://www.nytimes.com/video/t-magazine/100000009388574/my-favorite-artwork-jenny-holzer.html?playlistId=video/t-magazine,1750263,96,text/html
https://www.nytimes.com/video/t-magazine/100000009445924/how-to-make-stuffed-pasta-at-home.html?playlistId=video/t-magazine,1185297,96,text/html
https://www.nytimes.com/video/t-magazine/100000009445903/how-to-decorate-a-goth-cake.html?playlistId=video/t-magazine,1184310,96,text/html
https://www.nytimes.com/video/t-magazine/100000009520291/house-tour-roberto-gerosa.html?playlistId=video/t-magazine,1918286,96,text/html
https://www.nytimes.com/video/t-magazine/100000009537198/cherry-tomato-tart.html?playlistId=video/t-magazine,1185129,96,text/html
https://www.nytimes.com/video/t-magazine/100000009666985/jeremy-lees-greens-and-eggs.html?playlistId=video/t-magazine,1184706,96,text/html
https://www.nytimes.com/video/t-magazine/100000009681897/house-tour-espace-aygo.html?playlistId=video/t-magazine,1945457,96,text/html
https://www.nytimes.com/video/opinion/100000009022484/oasis.html?playlistId=video/op-docs,1277169,96,text/html
